date,gini
2018-09-09,8.43768263308768e-06
2018-09-10,8.437685535346062e-06
2018-09-11,8.437752437016877e-06
2018-09-12,8.437714056191714e-06
2018-09-13,8.437672130430056e-06
2018-09-14,8.43763976718452e-06
2018-09-15,8.437625579440171e-06
2018-09-16,8.437594156216759e-06
2018-09-17,8.43760995917359e-06
2018-09-18,8.43765424900374e-06
2018-09-19,8.43766909585451e-06
2018-09-20,8.437591947386083e-06
2018-09-21,8.437440258210324e-06
2018-09-22,8.437404051848636e-06
2018-09-23,8.437370839340693e-06
2018-09-24,8.437368867150113e-06
2018-09-25,8.43733010429576e-06
2018-09-26,8.43725061315053e-06
2018-09-27,8.437206400379124e-06
2018-09-28,8.437148233831228e-06
2018-09-29,8.437108973513375e-06
2018-09-30,8.437090769365972e-06
2018-10-01,8.4370570886055e-06
2018-10-02,8.437062719546095e-06
2018-10-03,8.437057679266786e-06
2018-10-04,8.437024714749067e-06
2018-10-05,8.43697591799008e-06
2018-10-06,8.436942634286708e-06
2018-10-07,8.43697869872586e-06
2018-10-08,8.436978940430355e-06
2018-10-09,8.436959075238349e-06
2018-10-10,8.436890247424868e-06
2018-10-11,8.43662773255565e-06
2018-10-12,8.444291892268832e-06
2018-10-13,8.444181092994728e-06
2018-10-14,8.44404228369048e-06
2018-10-15,8.443765148532299e-06
2018-10-16,8.44313469955454e-06
2018-10-17,8.44203632679654e-06
2018-10-18,8.441877926801692e-06
2018-10-19,8.441609211648822e-06
2018-10-20,8.441467499815301e-06
2018-10-21,8.441377815514677e-06
2018-10-22,8.441310719817256e-06
2018-10-23,8.441252669934183e-06
2018-10-24,8.441282481012219e-06
2018-10-25,8.4412931692665e-06
2018-10-26,8.441246658355613e-06
2018-10-27,8.441233539222272e-06
2018-10-28,8.441278191572435e-06
2018-10-29,8.441257756151215e-06
2018-10-30,8.44126852615673e-06
2018-10-31,8.441271865349178e-06
2018-11-01,8.441278347613753e-06
2018-11-02,8.441267089846531e-06
2018-11-03,8.441295245279542e-06
2018-11-04,8.44131131623166e-06
2018-11-05,8.441322318047041e-06
2018-11-06,8.441265204568004e-06
2018-11-07,8.441322115810876e-06
2018-11-08,8.441399955057725e-06
2018-11-09,8.441437207550548e-06
2018-11-10,8.441452534669737e-06
2018-11-11,8.441438355139538e-06
2018-11-12,8.441520743001238e-06
2018-11-13,8.441580210080196e-06
2018-11-14,8.441668193211307e-06
2018-11-15,8.441679932775912e-06
2018-11-16,8.44167239462331e-06
2018-11-17,8.44167293360294e-06
2018-11-18,8.441650088804541e-06
2018-11-19,8.441692613253386e-06
2018-11-20,8.441816194063356e-06
2018-11-21,8.441895263522811e-06
2018-11-22,8.441992540871724e-06
2018-11-23,8.44203886376625e-06
2018-11-24,8.442020222804158e-06
2018-11-25,8.442096266186887e-06
2018-11-26,8.442071299786682e-06
2018-11-27,8.44215122791189e-06
2018-11-28,8.442121690361872e-06
2018-11-29,8.442072599651984e-06
2018-11-30,8.44208185740428e-06
2018-12-01,8.442113649708923e-06
2018-12-02,8.442145934325427e-06
2018-12-03,8.442154968119283e-06
2018-12-04,8.442203267116328e-06
2018-12-05,8.44224552028698e-06
2018-12-06,8.442267056390665e-06
2018-12-07,8.442543153471157e-06
2018-12-08,8.442630405804539e-06
2018-12-09,8.442675207368495e-06
2018-12-10,8.442700596570202e-06
2018-12-11,8.442693651852133e-06
2018-12-12,8.443199555213015e-06
2018-12-13,8.443289999467244e-06
2018-12-14,8.443423909064818e-06
2018-12-15,8.443511006637899e-06
2018-12-16,8.443569352561e-06
2018-12-17,8.443715658800167e-06
2018-12-18,8.443793883703473e-06
2018-12-19,8.444044912866221e-06
2018-12-20,8.444163057528979e-06
2018-12-21,8.444298408693991e-06
2018-12-22,8.444368739821086e-06
2018-12-23,8.444420178409917e-06
2018-12-24,8.444547307971905e-06
2018-12-25,8.444539920263613e-06
2018-12-26,8.444548056988612e-06
2018-12-27,8.444632901368172e-06
2018-12-28,8.444678431108127e-06
2018-12-29,8.444685842063062e-06
2018-12-30,8.444703474580853e-06
2018-12-31,8.444742956240006e-06
2019-01-01,8.444747309616098e-06
2019-01-02,8.444752987683605e-06
2019-01-03,8.444681371237004e-06
2019-01-04,8.444646589100755e-06
2019-01-05,8.444708641681331e-06
2019-01-06,8.44468670541212e-06
2019-01-07,8.444815242279953e-06
2019-01-08,8.445022703498222e-06
2019-01-09,8.445094175620948e-06
2019-01-10,8.445191906947486e-06
2019-01-11,8.445219167047215e-06
2019-01-12,8.445230031177997e-06
2019-01-13,8.4452582057391e-06
2019-01-14,8.445211123891915e-06
2019-01-15,8.445297829284048e-06
2019-01-16,8.445390561815266e-06
2019-01-17,8.44553434475814e-06
2019-01-18,8.445610475952853e-06
2019-01-19,8.445649604706545e-06
2019-01-20,8.44571013557087e-06
2019-01-21,8.44569190369554e-06
2019-01-22,8.445705864542904e-06
2019-01-23,8.445798822350313e-06
2019-01-24,8.445922208660758e-06
2019-01-25,8.445925360525562e-06
2019-01-26,8.44607681294644e-06
2019-01-27,8.446042944725177e-06
2019-01-28,8.44606245559755e-06
2019-01-29,8.446072850603424e-06
2019-01-30,8.446079883675269e-06
2019-01-31,8.44608529599272e-06
2019-02-01,8.446103055019457e-06
2019-02-02,8.446133344373212e-06
2019-02-03,8.446138207719984e-06
2019-02-04,8.446172920474436e-06
2019-02-05,8.446201763650907e-06
2019-02-06,8.446211451298537e-06
2019-02-07,8.446250253189623e-06
2019-02-08,8.446317953993109e-06
2019-02-09,8.446296295765336e-06
2019-02-10,8.446293426891581e-06
2019-02-11,8.446321852661528e-06
2019-02-12,8.446337136437182e-06
2019-02-13,8.446348487783285e-06
2019-02-14,8.446359482954799e-06
2019-02-15,8.446328534205361e-06
2019-02-16,8.44632648929039e-06
2019-02-17,8.446725341041116e-06
